학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,lat,long,데이터기준일자,제공기관코드,제공기관명
B000002228,서울가곡초등학교,초등학교,1993-03-01,공립,본교,운영,서울특별시 강서구 마곡동 728-28,서울특별시 강서구 공항대로36길 74,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2023-11-15,37.55570761,126.8361031,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002390,서울정덕초등학교,초등학교,1946-11-01,공립,본교,운영,서울특별시 성북구 동소문동7가 118-1,서울특별시 성북구 아리랑로 63,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.59823995,127.0134213,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008427,광진중학교,중학교,1979-10-10,공립,본교,운영,서울특별시 광진구 자양동 693,서울특별시 광진구 뚝섬로64길 45,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.53221959,127.0901621,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008219,상계제일중학교,중학교,1971-03-03,공립,본교,운영,서울특별시 노원구 중계동 132,서울특별시 노원구 덕릉로86길 29-15,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.6610756,127.0780785,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002367,서울양진초등학교,초등학교,2005-03-01,공립,본교,운영,서울특별시 광진구 광장동 414-1,서울특별시 광진구 워커힐로 32,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.54457517,127.0983249,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002290,서울학동초등학교,초등학교,1979-04-11,공립,본교,운영,서울특별시 강남구 논현동 264-7,서울특별시 강남구 선릉로115길 42,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.51226106,127.0395978,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008112,영란여자중학교,중학교,1969-03-03,사립,본교,운영,서울특별시 중랑구 망우동 220,서울특별시 중랑구 망우로73길 56,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2023-11-15,37.6031324,127.1053324,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011793,대원외국어고등학교,고등학교,1984-03-02,사립,본교,운영,서울특별시 광진구 중곡동 176-124,서울특별시 광진구 용마산로22길 26,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.56249279,127.0894374,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008254,보성여자중학교,중학교,1907-10-10,사립,본교,운영,서울특별시 용산구 용산동2가 1-1123,서울특별시 용산구 신흥로3가길 66,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2023-11-15,37.54308154,126.9842842,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008443,고명중학교,중학교,1955-03-15,사립,본교,운영,서울특별시 성북구 돈암동 45-88,서울특별시 성북구 북악산로 870,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.59767468,127.0191869,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012050,광신고등학교,고등학교,1987-03-02,사립,본교,운영,서울특별시 관악구 신림동 산87-6,서울특별시 관악구 광신길 141,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2023-11-15,37.4644762,126.9259406,2024-03-22,C738100,청주대학교 지방교육재정연구원
